MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
Two_Story_1946_and_Newer,Residential_Low_Density,46,20544,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Northwest_Ames,Norm,Norm,OneFam,Two_Story,Above_Average,1986,1991,Gable,CompShg,Plywood,Plywood,BrkFace,123,Good,CBlock,Typical,No,Unf,7,Unf,0,791,791,GasA,Good,Y,SBrkr,1236,857,2093,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,542,Typical,Paved,364,63,0,0,0,0,No_Pool,Minimum_Privacy,None,0,11,2008,WD ,Normal,-93.6391494,42.056015,
Duplex_All_Styles_and_Ages,Residential_Low_Density,60,7200,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,Duplex,One_Story,Average,1949,1950,Gable,CompShg,BrkFace,Stone,None,0,Typical,Slab,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,Wall,Fair,N,FuseF,1040,0,1040,0,0,2,0,2,2,6,Typ,0,Detchd,Unf,2,420,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.608903,42.035841,
Duplex_All_Styles_and_Ages,Residential_Low_Density,0,9555,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,Duplex,Two_Story,Above_Average,1979,1979,Gable,CompShg,Plywood,Plywood,None,0,Typical,Slab,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,SBrkr,1100,1133,2233,0,0,2,1,5,2,11,Typ,0,Attchd,Fin,2,579,Good,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2007,WD ,Normal,-93.674327,42.01917,
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,78,15600,Pave,No_Alley_Access,Regular,Bnk,AllPub,Inside,Gtl,Crawford,Norm,Norm,OneFam,One_and_Half_Fin,Good,1949,2005,Gable,CompShg,BrkComm,Brk Cmn,None,0,Typical,BrkTil,Typical,No,BLQ,2,Rec,507,248,1067,GasW,Fair,N,SBrkr,986,537,1523,1,0,2,0,3,1,7,Maj2,1,Attchd,Unf,1,295,Typical,Paved,0,0,81,0,0,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,-93.640762,42.014943,
Two_Story_1945_and_Older,Residential_Low_Density,74,11988,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Mod,Crawford,Norm,Norm,OneFam,Two_Story,Good,1934,1995,Hip,CompShg,Stucco,Stucco,None,0,Typical,CBlock,Typical,No,LwQ,4,Unf,0,389,715,GasA,Fair,Y,FuseA,849,811,1660,0,0,1,1,3,1,6,Typ,1,Detchd,Unf,1,240,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,8,2008,WD ,Normal,-93.641405,42.018443,
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,3182,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Bloomington_Heights,Norm,Norm,TwnhsE,One_Story,Average,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16,Typical,PConc,Typical,Av,GLQ,3,Unf,0,1357,1373,GasA,Excellent,Y,SBrkr,1555,0,1555,0,0,2,0,2,1,7,Typ,1,Attchd,Fin,2,430,Typical,Paved,143,20,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,-93.642094,42.062305,
Split_Foyer,Residential_Low_Density,0,10464,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR3,Gtl,Northwest_Ames,Norm,Norm,OneFam,SFoyer,Above_Average,1980,1980,Gable,CompShg,HdBoard,HdBoard,BrkFace,130,Typical,CBlock,Typical,Av,GLQ,3,Unf,0,138,988,GasA,Typical,Y,SBrkr,1102,0,1102,1,0,1,0,2,1,5,Typ,1,Attchd,RFn,2,582,Typical,Paved,140,22,0,0,0,0,No_Pool,No_Fence,None,0,6,2006,WD ,Normal,-93.633002,42.0562619,
One_Story_PUD_1946_and_Newer,Residential_Medium_Density,0,4426,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,TwnhsE,One_Story,Average,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169,Typical,PConc,Typical,Av,GLQ,3,Unf,0,186,848,GasA,Excellent,Y,SBrkr,848,0,848,1,0,1,0,1,1,3,Typ,0,Attchd,RFn,2,420,Typical,Paved,160,0,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,-93.6837,42.016253,
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9200,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,No,Rec,6,Unf,0,244,1136,GasA,Typical,Y,SBrkr,1136,0,1136,1,0,1,0,3,1,5,Typ,1,Attchd,RFn,1,384,Typical,Paved,426,0,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.629884,42.040112,
Two_Story_1946_and_Newer,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,Two_Story,Average,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,252,Typical,CBlock,Typical,No,ALQ,1,Unf,0,467,1165,GasA,Good,Y,SBrkr,1165,896,2061,0,1,2,1,4,1,8,Typ,1,Attchd,RFn,2,498,Typical,Paved,0,77,0,0,196,0,No_Pool,No_Fence,None,0,5,2009,COD,Abnorml,-93.630714,42.044821,
One_Story_1946_and_Newer_All_Styles,Residential_Medium_Density,100,12000,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,One_Story,Good,1948,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,CBlock,Typical,No,GLQ,3,ALQ,608,172,924,GasA,Excellent,Y,SBrkr,1122,0,1122,1,0,1,0,2,1,6,Typ,0,Attchd,Unf,2,528,Typical,Paved,0,36,0,0,0,0,No_Pool,Good_Wood,None,0,5,2008,WD ,Normal,-93.60887,42.033571,
One_Story_1945_and_Older,Residential_Medium_Density,60,6978,Pave,No_Alley_Access,Regular,Bnk,AllPub,Inside,Gtl,Old_Town,Artery,Norm,OneFam,One_Story,Good,1926,1980,Gable,CompShg,MetalSd,MetalSd,None,0,Good,BrkTil,Typical,No,Unf,7,Unf,0,850,850,GasA,Typical,Y,SBrkr,960,0,960,0,0,1,0,2,1,5,Typ,0,Detchd,RFn,2,576,Typical,Paved,0,0,116,0,0,0,No_Pool,No_Fence,None,0,4,2007,WD ,Normal,-93.618969,42.034403,
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1476,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Meadow_Village,Norm,Norm,Twnhs,Two_Story,Good,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0,Typical,CBlock,Typical,No,GLQ,3,Unf,0,370,546,GasA,Excellent,Y,SBrkr,546,546,1092,0,0,1,1,3,1,5,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Paved,200,26,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,-93.603435,41.992212,
Two_Story_1946_and_Newer,Floating_Village_Residential,75,9000,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Average,2007,2007,Gable,CompShg,CemntBd,CmentBd,None,0,Typical,PConc,Typical,Av,GLQ,3,Unf,0,1120,1184,GasA,Excellent,Y,SBrkr,1184,1426,2610,0,0,2,1,4,1,11,Typ,1,BuiltIn,Fin,2,550,Typical,Paved,208,364,0,0,0,0,No_Pool,No_Fence,None,0,8,2007,New,Partial,-93.647933,42.050301,
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,95,15865,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Mod,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1970,1970,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0,Good,PConc,Good,Gd,ALQ,1,Rec,823,1043,2217,GasA,Excellent,Y,SBrkr,2217,0,2217,1,0,2,0,4,1,8,Typ,1,Attchd,Unf,2,621,Typical,Paved,81,207,0,0,224,0,No_Pool,No_Fence,None,0,10,2007,WD ,Normal,-93.61728,42.050443,
Two_Story_1946_and_Newer,Residential_Low_Density,59,11796,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,Av,Unf,7,Unf,0,847,847,GasA,Excellent,Y,SBrkr,847,1112,1959,0,0,2,1,4,1,8,Typ,1,BuiltIn,Fin,2,434,Typical,Paved,100,48,0,0,0,0,No_Pool,No_Fence,None,0,7,2007,WD ,Normal,-93.643961,42.061541,
Two_Story_1946_and_Newer,Residential_Low_Density,102,12858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Typical,PConc,Typical,No,Unf,7,Unf,0,1590,1590,GasA,Excellent,Y,SBrkr,1627,707,2334,0,0,2,1,3,1,10,Typ,1,Attchd,Fin,3,751,Typical,Paved,144,133,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,New,Partial,-93.653201,42.062352,
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,85,10625,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,292,Typical,PConc,Typical,Av,Unf,7,Unf,0,1660,1660,GasA,Excellent,Y,SBrkr,1660,0,1660,0,0,2,0,3,1,7,Typ,1,Attchd,Fin,3,660,Typical,Paved,133,120,0,0,0,0,No_Pool,No_Fence,None,0,6,2008,WD ,Normal,-93.641651,42.052173,
Two_Story_1945_and_Older,Residential_Low_Density,144,21384,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Brookside,Norm,Norm,OneFam,Two_Story,Above_Average,1923,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,CBlock,Typical,Gd,GLQ,3,Unf,0,15,1324,GasA,Excellent,Y,SBrkr,1072,504,1576,2,0,1,1,3,1,6,Typ,1,Attchd,RFn,2,528,Typical,Paved,0,312,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,-93.6289369,42.033996,
One_Story_PUD_1946_and_Newer,Residential_Medium_Density,0,4435,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,TwnhsE,One_Story,Average,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,170,Typical,PConc,Typical,Av,GLQ,3,Unf,0,163,848,GasA,Excellent,Y,SBrkr,848,0,848,1,0,1,0,1,1,4,Typ,0,Attchd,Fin,2,420,Typical,Paved,140,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.681297,42.016274,
Two_Story_1946_and_Newer,Residential_Low_Density,0,12891,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,219,870,GasA,Excellent,Y,SBrkr,878,1126,2004,1,0,2,1,4,1,8,Typ,1,BuiltIn,Fin,3,644,Typical,Paved,0,48,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,-93.642932,42.059481,
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,9945,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,OneFam,One_Story,Average,1961,1961,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,57,Typical,CBlock,Typical,No,Rec,6,Unf,0,161,988,GasA,Typical,Y,SBrkr,988,0,988,1,0,1,0,3,1,5,Typ,0,Detchd,Unf,2,572,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,10,2007,WD ,Normal,-93.673518,42.034652,
One_Story_PUD_1946_and_Newer,Residential_Low_Density,53,4045,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Bloomington_Heights,Norm,Norm,TwnhsE,One_Story,Average,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,45,Typical,PConc,Typical,Av,GLQ,3,Unf,0,286,1356,GasA,Excellent,Y,SBrkr,1500,0,1500,1,0,2,0,2,1,6,Typ,1,Attchd,Fin,3,648,Typical,Paved,161,20,0,0,0,0,No_Pool,No_Fence,None,0,10,2006,New,Partial,-93.641522,42.062873,
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,62,9858,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Mitchell,Norm,Norm,OneFam,One_Story,Above_Average,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,No,BLQ,2,Unf,0,354,864,GasA,Typical,Y,SBrkr,874,0,874,1,0,1,0,3,1,5,Typ,0,Attchd,RFn,1,288,Typical,Paved,33,0,0,0,0,0,No_Pool,Good_Wood,Shed,600,11,2009,WD ,Normal,-93.604218,41.992919,
Two_Family_conversion_All_Styles_and_Ages,Residential_High_Density,58,6430,Pave,No_Alley_Access,Regular,Bnk,AllPub,Corner,Gtl,South_and_West_of_Iowa_State_University,Feedr,Norm,TwoFmCon,One_and_Half_Fin,Above_Average,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,CBlock,Typical,Av,BLQ,2,Unf,0,0,780,GasA,Typical,N,FuseF,816,524,1340,1,0,1,0,3,1,6,Typ,0,Attchd,Unf,1,440,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,7,2006,WD ,Abnorml,-93.646942,42.01924,
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,14331,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Timberland,Norm,Norm,OneFam,One_Story,Average,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,630,Typical,PConc,Typical,Gd,GLQ,3,Unf,0,526,1800,GasA,Excellent,Y,SBrkr,1800,0,1800,1,0,2,0,3,1,7,Typ,1,Attchd,Fin,3,765,Typical,Paved,270,78,0,0,0,0,No_Pool,No_Fence,None,0,5,2006,WD ,Normal,-93.646758,41.994347,
