MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
One_Story_1946_and_Newer_All_Styles,Residential_High_Density,80,11622,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Feedr,Norm,OneFam,One_Story,Above_Average,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,CBlock,Typical,No,Rec,6,LwQ,144,270,882,GasA,Typical,Y,SBrkr,896,0,896,0,0,1,0,2,1,5,Typ,0,Attchd,Unf,1,730,Typical,Paved,140,0,0,0,120,0,No_Pool,Minimum_Privacy,None,0,6,2010,WD ,Normal,-93.619756,42.053014,105000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,14267,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,Typical,CBlock,Typical,No,ALQ,1,Unf,0,406,1329,GasA,Typical,Y,SBrkr,1329,0,1329,0,0,1,1,3,1,6,Typ,0,Attchd,Unf,1,312,Typical,Paved,393,36,0,0,0,0,No_Pool,No_Fence,Gar2,12500,6,2010,WD ,Normal,-93.6193873,42.052659,172000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,93,11160,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,1045,2110,GasA,Excellent,Y,SBrkr,2110,0,2110,1,0,2,1,3,1,8,Typ,2,Attchd,Fin,2,522,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,-93.61732,42.051245,244000
Two_Story_1946_and_Newer,Residential_Low_Density,74,13830,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,137,928,GasA,Good,Y,SBrkr,928,701,1629,0,0,2,1,3,1,6,Typ,1,Attchd,Fin,2,482,Typical,Paved,212,34,0,0,0,0,No_Pool,Minimum_Privacy,None,0,3,2010,WD ,Normal,-93.638933,42.060899,189900
Two_Story_1946_and_Newer,Residential_Low_Density,78,9978,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,Typical,PConc,Typical,No,GLQ,3,Unf,0,324,926,GasA,Excellent,Y,SBrkr,926,678,1604,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,470,Typical,Paved,360,36,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.638925,42.060779,195500
One_Story_PUD_1946_and_Newer,Residential_Low_Density,41,4920,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,722,1338,GasA,Excellent,Y,SBrkr,1338,0,1338,1,0,2,0,2,1,6,Typ,0,Attchd,Fin,2,582,Typical,Paved,0,0,170,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,-93.633792,42.062978,213500
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,5005,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,PConc,Typical,No,ALQ,1,Unf,0,1017,1280,GasA,Excellent,Y,SBrkr,1280,0,1280,0,0,2,0,2,1,5,Typ,0,Attchd,RFn,2,506,Typical,Paved,0,82,0,0,144,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,-93.633826,42.060728,191500
Two_Story_1946_and_Newer,Residential_Low_Density,60,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,994,994,GasA,Good,Y,SBrkr,1028,776,1804,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,442,Typical,Paved,140,60,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.639068,42.059193,189000
Two_Story_1946_and_Newer,Residential_Low_Density,75,10000,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,763,763,GasA,Good,Y,SBrkr,763,892,1655,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,440,Typical,Paved,157,84,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,-93.636947,42.05848,175900
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,7980,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Good,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,Good,PConc,Typical,No,ALQ,1,Unf,0,233,1168,GasA,Excellent,Y,SBrkr,1187,0,1187,1,0,2,0,3,1,6,Typ,0,Attchd,Fin,2,420,Typical,Paved,483,21,0,0,0,0,No_Pool,Good_Privacy,Shed,500,3,2010,WD ,Normal,-93.635951,42.057419,185000
Two_Story_1946_and_Newer,Residential_Low_Density,47,53504,Pave,No_Alley_Access,Moderately_Irregular,HLS,AllPub,CulDSac,Mod,Stone_Brook,Norm,Norm,OneFam,Two_Story,Average,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603,Typical,PConc,Typical,Gd,ALQ,1,Unf,0,234,1650,GasA,Excellent,Y,SBrkr,1690,1589,3279,1,0,3,1,4,1,12,Mod,1,BuiltIn,Fin,3,841,Typical,Paved,503,36,0,0,210,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,-93.62655,42.061239,538000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,11394,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,OneFam,One_Story,Poor,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Typical,PConc,Typical,Av,GLQ,3,Unf,0,411,1856,GasA,Excellent,Y,SBrkr,1856,0,1856,1,0,1,1,1,1,8,Typ,1,Attchd,Fin,3,834,Typical,Paved,113,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,New,Partial,-93.628804,42.05885,394432
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,13175,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,Typical,CBlock,Typical,No,ALQ,1,Rec,163,589,1542,GasA,Typical,Y,SBrkr,2073,0,2073,1,0,2,0,3,1,7,Min1,2,Attchd,Unf,2,500,Typical,Paved,349,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,2,2010,WD ,Normal,-93.636655,42.054453,210000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105,11751,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,Typical,CBlock,Typical,No,BLQ,2,Unf,0,1139,1844,GasA,Excellent,Y,SBrkr,1844,0,1844,0,0,2,0,3,1,7,Typ,1,Attchd,RFn,2,546,Typical,Paved,0,122,0,0,0,0,No_Pool,Minimum_Privacy,None,0,1,2010,COD,Normal,-93.633962,42.050346,190000
